# Maximal Sidon Set per N=100000
# Cardinality (K): 322
# Base Geometry: Singer q=331 (v=109893)
# Hall Multiplier: k=4346
# Density: 1.018 * sqrt(N)
# Execution Time: 29.988 seconds

       1,    128,    395,    553,    606,   1407,   1718,   2109,   2316,   2584
    2890,   3399,   3543,   3832,   4119,   4349,   4464,   5178,   5179,   5592
    5826,   6026,   6092,   6295,   7186,   7422,   7665,   8622,   8660,   9006
    9218,   9650,   9699,   9800,   9856,  10188,  10575,  11912,  12373,  12604
   12753,  12894,  12920,  13387,  13650,  13787,  13867,  14104,  14186,  14672
   14838,  15793,  16035,  16079,  17024,  17488,  17525,  17881,  18643,  18901
   19262,  20007,  20206,  20433,  20878,  20983,  21010,  21331,  21720,  22404
   22827,  23311,  23340,  23382,  24022,  24346,  24519,  24743,  25564,  25581
   25911,  25979,  26205,  26224,  26357,  26597,  26899,  26992,  27450,  27515
   28553,  28828,  29582,  29924,  30326,  30748,  31417,  31941,  31963,  32097
   32125,  32133,  32145,  32149,  33464,  34147,  34401,  34431,  34556,  34874
   35311,  35623,  36206,  36297,  36419,  36491,  36978,  37169,  37518,  37792
   38230,  38358,  38393,  38834,  39094,  39556,  39878,  39964,  40059,  40142
   40182,  41486,  41561,  41869,  42125,  42822,  44162,  44520,  44656,  45077
   45183,  45318,  45421,  45482,  46886,  47718,  48306,  48797,  48875,  48948
   49209,  49299,  49330,  49758,  50091,  50543,  50652,  50798,  51266,  51351
   51580,  51595,  51754,  51800,  52091,  52170,  53238,  53337,  53508,  53615
   54107,  54590,  54613,  54702,  55207,  55241,  55402,  56068,  56165,  56458
   58008,  58331,  58553,  58826,  59568,  59642,  59699,  59978,  60213,  60485
   60548,  60773,  60889,  61243,  61747,  61932,  62178,  62376,  62848,  62917
   62987,  63064,  63105,  63648,  63986,  64494,  64504,  65501,  65630,  65772
   65778,  67028,  67042,  67905,  68370,  69055,  69456,  69658,  70034,  70174
   70560,  70684,  70912,  71215,  71543,  71835,  72115,  72295,  72354,  72484
   72544,  72652,  72663,  72839,  74801,  75010,  75163,  75603,  75970,  76805
   77276,  77386,  78011,  78054,  78354,  78418,  78450,  78531,  78619,  78669
   78916,  79198,  79503,  79508,  79804,  80130,  80437,  80495,  80557,  81228
   81718,  82001,  82166,  82253,  82768,  82775,  83375,  83473,  84163,  84306
   84942,  85053,  85157,  85794,  85908,  86053,  86471,  86565,  86918,  87150
   87675,  87678,  88608,  88629,  89354,  89372,  90280,  90652,  90654,  90699
   90754,  92354,  92526,  92551,  92602,  93008,  93371,  93425,  93438,  93621
   93992,  94084,  94317,  94434,  94443,  94657,  94696,  95023,  95107,  95383
   96536,  97484,  97517,  97677,  98016,  98436,  98646,  99027,  99202,  99483
   99637,  99858
